contig	prodigal	cds	start	end	nothing	strand	unknown	gene_id	A01_r2_seq.txt	A04_r2_seq.txt	A07_r2_seq.txt	B01_r2_seq.txt	B04_r2_seq.txt	B07_r2_seq.txt	C01_r2_seq.txt	C04_r2_seq.txt	C07_r2_seq.txt	D01_r2_seq.txt	D04_r2_seq.txt	D07_r2_seq.txt	E01_r2_seq.txt	E04_r2_seq.txt	E07_r2_seq.txt	F01_r2_seq.txt	F04_r2_seq.txt	F07_r2_seq.txt	G01_r2_seq.txt	G04_r2_seq.txt	G07_r2_seq.txt	H01_r2_seq.txt	H04_r2_seq.txt	H07_r2_seq.txt	A02_r2_seq.txt	A05_r2_seq.txt	A08_r2_seq.txt	B02_r2_seq.txt	B05_r2_seq.txt	B08_r2_seq.txt	C02_r2_seq.txt	C05_r2_seq.txt	C08_r2_seq.txt	D02_r2_seq.txt	D05_r2_seq.txt	D08_r2_seq.txt	E02_r2_seq.txt	E05_r2_seq.txt	F02_r2_seq.txt	F05_r2_seq.txt	G02_r2_seq.txt	G05_r2_seq.txt	H02_r2_seq.txt	H05_r2_seq.txt	A03_r2_seq.txt	A06_r2_seq.txt	B03_r2_seq.txt	B06_r2_seq.txt	C03_r2_seq.txt	C06_r2_seq.txt	D03_r2_seq.txt	D06_r2_seq.txt	E03_r2_seq.txt	E06_r2_seq.txt	F03_r2_seq.txt	F06_r2_seq.txt	G03_r2_seq.txt	G06_r2_seq.txt	H03_r2_seq.txt	H06_r2_seq.txt
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	12090	12329	.	+	0	ID=BJEIHDPM_00011;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00011;product=hypothetical protein	1	3	3	0	1	7	6	0	1	1	2	3	3	1	3	1	2	1	0	0	1	0	1	3	1	2	1	3	1	1	0	0	0	3	0	2	0	0	3	0	3	0	0	1	1	1	1	2	0	1	1	0	1	1	3	1	4	2	3	2
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	12545	13546	.	-	0	ID=BJEIHDPM_00012;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00012;product=hypothetical protein	7	7	13	4	3	10	9	0	2	9	4	16	11	7	7	6	7	11	5	8	5	0	7	9	5	4	13	10	9	8	0	0	0	6	8	10	0	8	11	15	8	3	4	11	1	9	8	6	6	6	3	8	7	3	8	8	8	5	7	9
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	13750	14193	.	-	0	ID=BJEIHDPM_00013;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00013;product=hypothetical protein	11	11	6	7	10	14	9	0	5	6	2	14	5	5	8	4	9	12	6	5	9	0	7	11	6	9	21	8	15	7	0	0	0	9	12	15	0	8	14	14	7	7	11	6	10	3	9	9	6	6	5	5	12	6	11	5	8	7	10	9
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	14282	14719	.	+	0	ID=BJEIHDPM_00014;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00014;product=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	14889	15185	.	+	0	ID=BJEIHDPM_00015;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00015;product=hypothetical protein	0	0	0	1	0	1	0	0	0	0	1	0	4	1	2	0	2	1	0	0	1	0	0	2	1	1	0	0	2	1	0	0	0	0	0	1	0	0	2	0	1	1	1	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	1	1
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	15234	15713	.	-	0	ID=BJEIHDPM_00016;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00016;product=hypothetical protein	2	2	1	1	1	0	1	0	0	0	2	0	0	2	0	0	4	1	0	1	1	0	0	2	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	1	1	2	0	1	0	2	1	1	0	0	0	1	0	3	1	1	1	0	1	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	15938	16879	.	+	0	"ID=BJEIHDPM_00017;eC_number=3.8.1.5;Name=dhmA2;gene=dhmA2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMS1;locus_tag=BJEIHDPM_00017;product=Haloalkane dehalogenase 2"	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	1	0	0	0	0	0	0	2	1	3	0	2	0	0	0	1	1	1	0	0	0	0	1	2	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	16919	18124	.	-	0	"ID=BJEIHDPM_00018;Name=nepI_1;dbxref=COG:COG2814;gene=nepI_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ADL1;locus_tag=BJEIHDPM_00018;product=Purine ribonucleoside efflux pump NepI"	9	18	19	16	19	25	16	0	14	14	13	17	15	10	16	11	10	19	11	12	16	0	10	22	7	9	18	8	17	22	0	0	0	13	14	18	0	17	11	6	16	12	16	6	10	12	8	12	10	9	5	9	10	17	10	12	9	5	16	11
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	18234	18860	.	+	0	"ID=BJEIHDPM_00019;Name=comR_1;gene=comR_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P75952;locus_tag=BJEIHDPM_00019;product=HTH-type transcriptional repressor ComR"	0	2	3	3	2	4	3	0	2	0	2	6	0	1	0	2	0	2	3	1	1	0	1	4	0	4	3	0	2	4	0	0	0	2	2	6	0	2	2	0	2	4	2	1	0	0	2	3	3	0	1	3	1	3	2	1	2	3	1	3
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	18953	19243	.	+	0	ID=BJEIHDPM_00020;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00020;product=hypothetical protein	0	0	3	1	0	2	0	0	1	1	1	2	0	3	2	0	0	2	0	2	1	0	1	1	0	1	3	0	1	1	0	0	0	4	1	1	0	1	0	0	1	1	0	1	1	1	0	0	0	0	2	0	0	1	0	4	0	3	1	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	19393	19590	.	-	0	ID=BJEIHDPM_00021;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00021;product=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	19721	20101	.	+	0	ID=BJEIHDPM_00022;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00022;product=hypothetical protein	13	4	8	5	2	9	3	0	4	3	4	1	4	5	7	5	5	3	3	7	5	0	6	7	7	8	6	7	5	8	0	0	0	8	5	7	0	2	8	8	4	4	1	6	7	3	8	7	3	7	4	4	2	5	10	4	7	5	5	10
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	20105	20704	.	-	0	ID=BJEIHDPM_00023;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00023;product=hypothetical protein	3	2	3	0	2	1	1	0	0	1	1	6	3	1	6	0	4	1	2	1	3	0	5	2	2	1	2	1	2	4	0	0	0	2	3	2	0	1	1	2	1	0	1	0	0	0	1	1	4	0	0	2	0	1	4	1	0	2	2	2
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	20823	21764	.	-	0	ID=BJEIHDPM_00024;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00024;product=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	21861	22307	.	+	0	"ID=BJEIHDPM_00025;Name=ytcD_1;dbxref=COG:COG1733;gene=ytcD_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34533;locus_tag=BJEIHDPM_00025;product=putative HTH-type transcriptional regulator YtcD"	0	4	2	0	2	0	0	0	0	0	2	1	3	0	1	0	0	0	0	0	1	0	1	3	1	0	4	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	3	0	1	1	1	1	0	2	0	2	0	0	2	1	0	0	0	1
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	22356	23975	.	-	0	"ID=BJEIHDPM_00026;Name=mcpQ_1;dbxref=COG:COG0840;gene=mcpQ_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q88D09;locus_tag=BJEIHDPM_00026;product=Methyl-accepting chemotaxis protein McpQ"	7	7	10	7	4	8	6	0	6	2	1	9	4	4	15	3	14	7	13	10	12	0	10	11	4	6	12	4	7	9	0	0	0	7	15	14	0	2	8	6	10	9	4	6	2	5	10	1	4	7	3	10	10	14	7	5	14	8	7	2
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	24255	25628	.	+	0	"ID=BJEIHDPM_00027;eC_number=2.7.11.1;Name=stkP_1;dbxref=COG:COG0515;gene=stkP_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8KY50;locus_tag=BJEIHDPM_00027;product=Serine/threonine-protein kinase StkP"	3	11	9	1	4	13	6	0	6	6	5	3	9	2	6	2	6	12	5	2	7	0	6	6	4	5	8	6	12	8	0	0	0	8	3	7	0	5	6	4	5	2	4	7	7	4	7	8	7	12	5	5	9	5	8	7	10	7	4	8
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	25663	26859	.	-	0	"ID=BJEIHDPM_00028;Name=bcr_1;gene=bcr_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P28246;locus_tag=BJEIHDPM_00028;product=Bicyclomycin resistance protein"	18	22	28	13	15	33	18	0	11	20	15	17	13	14	26	14	18	24	10	13	25	0	16	27	13	22	25	9	17	24	0	0	0	13	17	23	0	11	29	17	25	23	17	16	17	21	17	11	12	16	12	9	20	12	15	11	26	14	16	14
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	27112	28392	.	-	0	"ID=BJEIHDPM_00029;eC_number=2.3.1.179;Name=fabF_1;dbxref=COG:COG0304;gene=fabF_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34340;locus_tag=BJEIHDPM_00029;product=3-oxoacyl-[acyl-carrier-protein] synthase 2"	3	0	0	2	0	1	0	0	0	0	0	1	2	2	2	0	2	3	1	1	4	0	0	0	0	1	4	1	3	3	0	0	0	2	2	0	0	2	1	2	0	0	3	2	0	1	1	1	1	0	0	1	0	0	1	2	0	4	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	28395	31505	.	-	0	"ID=BJEIHDPM_00030;Name=czcA_1;gene=czcA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13511;locus_tag=BJEIHDPM_00030;product=Cobalt-zinc-cadmium resistance protein CzcA"	11	12	19	10	6	15	8	0	4	9	12	14	13	8	17	14	11	10	12	11	14	0	10	17	3	7	22	6	17	13	0	0	0	7	17	10	0	11	18	12	9	13	7	12	12	7	9	13	6	12	10	9	6	6	12	6	6	8	4	11
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	31502	32608	.	-	0	"ID=BJEIHDPM_00031;Name=mexA_1;gene=mexA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P52477;locus_tag=BJEIHDPM_00031;product=Multidrug resistance protein MexA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	32684	33298	.	-	0	"ID=BJEIHDPM_00032;Name=betI_1;gene=betI_1;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00768;locus_tag=BJEIHDPM_00032;product=HTH-type transcriptional regulator BetI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	33386	34843	.	+	0	"ID=BJEIHDPM_00033;Name=oprM_1;dbxref=COG:COG1538;gene=oprM_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q51487;locus_tag=BJEIHDPM_00033;product=Outer membrane protein OprM"	20	25	25	21	28	41	21	0	24	16	31	30	21	16	34	33	20	35	14	23	23	0	32	41	9	17	36	21	12	30	0	0	0	21	22	31	0	16	27	33	23	19	19	28	17	18	23	17	24	20	30	19	24	21	23	26	28	20	34	26
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	34993	35736	.	+	0	ID=BJEIHDPM_00034;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00034;product=hypothetical protein	10	10	18	11	15	23	11	0	12	13	10	17	21	7	17	8	12	9	8	14	13	0	14	12	6	11	22	22	14	21	0	0	0	12	12	5	0	7	24	13	7	18	6	13	9	15	15	11	13	13	6	10	12	11	14	11	16	7	12	9
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	36060	36992	.	+	0	"ID=BJEIHDPM_00035;eC_number=2.3.1.111;Name=mas;gene=mas;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02251;locus_tag=BJEIHDPM_00035;product=Mycocerosic acid synthase"	0	4	7	2	0	2	3	0	0	5	1	3	3	2	2	1	1	4	3	2	2	0	3	3	2	1	1	2	1	3	0	0	0	0	0	2	0	3	2	3	4	2	2	3	2	2	2	2	1	2	1	2	0	0	2	0	0	1	4	1
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	36995	37699	.	+	0	"ID=BJEIHDPM_00036;eC_number=6.3.4.15;Name=birA_1;gene=birA_1;inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00978;locus_tag=BJEIHDPM_00036;product=Bifunctional ligase/repressor BirA"	14	12	20	8	12	18	10	0	10	20	16	15	12	9	14	15	15	16	12	13	12	0	11	13	4	14	23	10	7	15	0	0	0	17	18	17	0	14	20	12	18	8	10	8	12	11	15	8	12	8	13	13	10	16	11	14	7	8	13	20
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	37717	38604	.	-	0	"ID=BJEIHDPM_00037;Name=gcvA_1;gene=gcvA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A9F6;locus_tag=BJEIHDPM_00037;product=Glycine cleavage system transcriptional activator"	5	7	4	3	5	7	10	0	4	10	5	8	8	4	5	4	5	3	3	7	7	0	7	4	5	7	14	8	3	6	0	0	0	10	1	3	0	5	6	5	4	2	3	7	6	9	6	5	3	1	5	6	4	8	7	6	7	7	6	7
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	38741	39583	.	+	0	ID=BJEIHDPM_00038;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00038;product=hypothetical protein	5	7	7	3	2	5	4	0	5	5	6	6	6	0	6	4	2	7	4	4	2	0	4	6	1	6	5	3	5	6	0	0	0	5	2	7	0	2	5	4	8	3	6	3	3	4	3	3	4	3	5	4	2	4	6	3	7	1	2	2
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	39783	40298	.	+	0	ID=BJEIHDPM_00039;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_00039;product=hypothetical protein	7	9	8	6	2	18	6	0	5	8	4	10	6	5	6	8	5	11	8	12	11	0	7	6	8	8	10	16	4	12	0	0	0	14	3	4	0	8	5	8	6	8	9	7	5	4	8	12	9	6	4	5	7	9	6	11	5	3	5	8
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	40414	41139	.	-	0	"ID=BJEIHDPM_00040;eC_number=2.1.1.217;Name=trmK;dbxref=COG:COG2384;gene=trmK;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54471;locus_tag=BJEIHDPM_00040;product=tRNA (adenine(22)-N(1))-methyltransferase"	10	5	9	4	8	14	9	0	5	7	8	9	0	5	13	8	13	15	11	5	12	0	4	7	9	5	11	4	8	17	0	0	0	6	6	12	0	10	11	5	8	11	4	4	10	16	5	5	11	9	9	8	3	7	9	8	8	5	12	10
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	41326	42231	.	-	0	"ID=BJEIHDPM_00041;eC_number=2.3.1.239;Name=pikAII_1;gene=pikAII_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9ZGI4;locus_tag=BJEIHDPM_00041;product=Narbonolide/10-deoxymethynolide synthase PikA2%2C modules 3 and 4"	3	5	4	10	4	5	6	0	1	6	2	2	2	0	3	3	5	4	2	6	5	0	1	8	4	4	7	4	5	7	0	0	0	3	2	3	0	5	3	5	3	4	6	4	3	5	3	8	3	1	1	2	5	0	2	0	5	2	0	3
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	42313	42681	.	-	0	"ID=BJEIHDPM_00042;eC_number=1.13.12.22;Name=snoaB;gene=snoaB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O54259;locus_tag=BJEIHDPM_00042;product=Deoxynogalonate monooxygenase"	11	13	18	16	8	18	19	0	20	10	14	17	24	8	19	15	20	14	16	17	17	0	13	25	9	30	21	18	17	25	0	0	0	9	14	22	1	11	19	15	22	14	4	10	14	13	12	14	16	11	22	11	12	17	16	14	11	12	14	12
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	42919	44160	.	-	0	"ID=BJEIHDPM_00043;Name=nicP_1;gene=nicP_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q88FY7;locus_tag=BJEIHDPM_00043;product=Porin-like protein NicP"	9	3	15	5	13	12	8	0	9	6	3	12	6	3	13	6	4	8	5	6	13	0	5	6	6	9	10	6	4	13	0	0	0	5	6	7	0	9	6	8	8	7	10	8	8	2	8	6	6	6	8	5	5	8	8	8	7	7	13	4
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	44311	46047	.	-	0	"ID=BJEIHDPM_00044;eC_number=6.3.4.14;Name=accC_1;dbxref=COG:COG0439;gene=accC_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P43873;locus_tag=BJEIHDPM_00044;product=Biotin carboxylase"	48	36	65	42	32	69	41	0	47	36	49	56	42	30	52	38	54	48	37	37	42	2	51	58	21	40	64	41	38	65	0	0	0	43	35	76	0	37	47	38	51	46	55	49	34	53	38	37	42	42	39	41	49	44	47	34	47	29	47	47
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	46044	47645	.	-	0	"ID=BJEIHDPM_00045;Name=ybgK;dbxref=COG:COG1984;gene=ybgK;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P75745;locus_tag=BJEIHDPM_00045;product=putative protein YbgK"	14	17	36	24	21	17	20	0	16	23	14	24	19	16	18	19	15	25	22	23	40	0	21	26	16	15	26	21	24	22	0	0	0	18	16	32	0	15	24	23	25	21	16	25	21	24	16	11	15	20	17	18	22	17	18	12	18	12	21	14
utg000001c:1.0-5963307.0_pilon	Prodigal:2.6	CDS	47655	48449	.	-	0	"ID=BJEIHDPM_00046;eC_number=4.2.1.-;dbxref=COG:COG4336;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q87UC6;locus_tag=BJEIHDPM_00046;product=Putative hydro-lyase"	9	13	12	9	8	19	9	0	4	6	13	16	11	7	9	11	7	11	4	6	15	0	5	5	10	8	11	5	16	17	0	0	0	18	7	6	0	6	15	4	11	6	11	12	6	10	7	17	11	8	11	7	10	13	9	10	14	12	8	6
